Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
73,      Waste management and remediation services,,,,,,,,,,,,,,,,,1.3,1.4,1.5,1.6,1.6,1.8,2,2.1,2.4,2.7,3,3.2,3.5,3.9,4.4,5.1,5.4,5.5,5.9,6.1,6.9,7.6,8.8,10,11.1,12.5,13.9,15,15.2,16.7,18,19.6,20.4,21,21.9
74,"  Educational services, health care, and social assistance",4.6,5.2,5.5,5.9,6.5,7.1,7.8,8.1,9.4,10,11.1,12.1,13.4,14.2,15.2,16.7,17.9,19.9,21.7,24.4,27.6,31.2,35.7,40.4,44.9,50.5,56.4,63.4,73.1,82.7,92.3,104.3,118.2,134.1,152.6,169.1,190,207.6,226.9,246.5,278.9,302.9,339.2,377.9,414.2,449.4,484.6,516,538.5,561.9,590.6
75,    Educational services,0.8,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,3,3.2,3.6,4.1,4.6,5,5.7,6.6,7.5,8.5,9.6,10.6,11.2,12.2,12.7,13.2,14.4,15.9,17.9,19.6,21.2,24.1,26.6,28.8,30.4,33.6,35.9,39,41.4,45.6,49,53.7,59.7,65.2,70.6,77.1
76,    Health care and social assistance,3.8,4.2,4.4,4.8,5.4,5.9,6.5,6.7,7.9,8.3,9.2,10.1,11.2,11.8,12.6,13.7,14.7,16.3,17.6,19.8,22.6,25.5,29.1,32.9,36.4,40.8,45.8,52.2,61,70,79.1,89.9,102.3,116.1,133,147.9,165.9,181,198.1,216.1,245.3,267.1,300.2,336.4,368.6,400.4,430.9,456.3,473.3,491.3,513.5
77,      Ambulatory health care services,,,,,,,,,,,,,,,,,7.1,7.9,8.6,9.6,10.9,12.3,14,15.9,17.6,19.7,22,25.1,29.3,33.6,38.1,42.9,48,54,61.9,67.8,76.5,84.9,93.8,103.2,120.8,132.7,148.7,167,182.7,199.3,213.2,227,235.4,242.2,250.9
78,      Hospitals and nursing and residential care facilities,,,,,,,,,,,,,,,,,6.7,7.4,8.1,9,10.3,11.6,13.3,15,16.6,18.6,20.9,23.8,27.8,31.9,36.1,41.1,47.3,54.3,62.3,71.2,79,84.5,91.3,98.3,108.6,117,131.6,147.3,162.2,174,188.7,197.9,204.5,214.6,223.1
79,      Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,      Nursing and residential care facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,      Social assistance,,,,,,,,,,,,,,,,,0.9,0.9,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.9,3.3,3.9,4.5,4.9,5.9,6.9,7.9,8.8,9,10.4,11.6,13,14.6,15.9,17.4,19.9,22.1,23.7,27.1,29,31.3,33.4,34.5,39.5
82,"  Arts, entertainment, recreation, accommodation, and food services",8,8.5,8.6,8.9,9.7,10.2,10.6,10.9,11.5,12,12.8,13.1,14.3,14.8,15.3,16.4,17.3,18.9,20.3,21.9,23.5,25.8,27.8,30,32.5,35.3,39.3,41.8,46.6,53.1,60.1,69.4,78.7,83.8,93.9,101,112.4,121.8,133.3,145,153.4,170,185.1,200.5,206.6,219.1,232.3,244.2,257.3,274.9,301.8
83,"    Arts, entertainment, and recreation",1.6,1.7,1.7,1.7,1.9,2,2.2,2.2,2.4,2.5,2.7,2.8,3.1,3.4,3.6,3.8,4.1,4.4,4.6,4.9,5.1,5.6,5.8,6.3,6.7,7.1,8.2,9,10,11.3,13.4,15.1,16.9,18.2,20.6,21.7,23.9,25.5,28.5,30.8,33.6,36.3,42,48.8,50.4,57.6,59.1,61.8,66.7,71.7,80.1
84,"      Performing arts, spectator sports, museums, and related activities",,,,,,,,,,,,,,,,,1.5,1.7,1.8,1.9,2,2.2,2.3,2.5,2.7,2.9,3.3,3.7,4.1,4.6,5.5,6.4,7.2,7.9,8.9,9.5,10.6,11.6,12.8,14.5,16.1,17.3,19.3,23.2,24,26.7,28.5,29.9,31.7,34.4,37.2
85,"      Amusements, gambling, and recreation industries",,,,,,,,,,,,,,,,,2.5,2.7,2.9,3,3.1,3.4,3.5,3.8,4,4.3,4.9,5.4,5.9,6.7,8,8.7,9.7,10.4,11.7,12.2,13.3,13.9,15.6,16.3,17.5,19,22.8,25.7,26.4,30.9,30.6,31.9,34.9,37.4,43
86,    Accommodation and food services,6.4,6.8,6.9,7.2,7.8,8.2,8.5,8.7,9.2,9.5,10.1,10.3,11.2,11.4,11.7,12.6,13.3,14.5,15.7,17,18.4,20.3,22.1,23.7,25.8,28.2,31.1,32.8,36.7,41.8,46.6,54.3,61.8,65.6,73.3,79.2,88.5,96.3,104.9,114.2,119.8,133.7,143.1,151.7,156.1,161.5,173.1,182.4,190.7,203.1,221.6
87,      Accommodation,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,2.1,2.2,2.4,2.4,2.6,2.7,2.8,3,3.3,3.5,3.9,4.3,4.8,5.2,5.7,6.3,6.7,7.5,8.3,9,9.9,11.5,13.2,15.9,18.3,19.4,21.9,23,25.8,28.5,31.5,33.7,36.2,38.7,41.9,44.3,46.1,48.9,52.1,55.4,59.5,64.6,70.7
88,      Food services and drinking places,4.9,5.2,5.3,5.5,6,6.3,6.5,6.6,7,7.3,7.7,7.8,8.5,8.7,8.9,9.6,10,11,11.8,12.7,13.6,15,16.3,17.4,19.1,20.7,22.7,23.8,26.7,30.4,33.4,38.4,43.5,46.1,51.4,56.2,62.6,67.8,73.4,80.5,83.6,95,101.2,107.4,110.1,112.6,121.1,127,131.1,138.6,150.9
89,"  Other services, except government",7.5,7.8,8,8.6,9.3,9.6,10.1,10.4,11.4,12.4,13.1,13.6,14.5,15.6,16.2,17.3,18,19.2,20.1,21.9,23.2,24.8,26.7,27.8,29.8,31.8,34.5,37.2,39.8,44.4,48,55.8,61.1,69.1,76.6,78.9,87.4,96.8,106.1,115.6,121.3,133.3,145,154,155.8,166,179.4,193.3,204.8,216.4,230.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Detail may not add to total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
