Line,level,category,Note,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
108,2,      Purchased-services inputs,,28.9,32.3,35.4,40.5,45.9,50.7,55.1,55.5,58.9,64.8,77.3,87.6,99.6,101.2,112.9,133.7,162.2,154.1,175.2,185.6,208.1,234.2,237.2,250.4,259.8,287.3,311.7,326.8,328,348.8,350.3,361.7,374.2,386.4,423.6
109,3,    Durable goods,,225.6,243.5,275.6,305.1,310.2,340.4,363.5,349.7,370.6,417.7,484.5,541.2,534.6,614.9,709.9,812.5,915.2,940,1019.8,967.2,1030.3,1170.1,1198.6,1212.6,1299.5,1423.1,1481.9,1486,1443.2,1531.9,1630.4,1796.2,1945.8,2031.3,2189.8
110,3,      Value added,,96.9,104.8,117.7,131.5,134.7,146.4,154.2,147.4,155.3,173.2,195.4,203.2,210.3,242.6,279.3,319.1,350.5,357.9,397.9,383.2,413.1,482.6,495.7,507.2,532.5,580.6,607.7,603.7,597.5,618.7,644.6,691.4,727.9,768,823.8
111,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,366.3,393.5,406.5,410.5,408.7,425.5,435.9,458.3,477.7,493.3,514.6
112,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.5,9.3,10,10.9,11.6,11.8,12.9,13.3,14.3,15.4
113,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,158.2,178.5,191.9,183.3,178,181.6,196.9,220.2,236.9,260.5,293.8
114,3,      Intermediate inputs,,128.8,138.7,158,173.6,175.4,193.9,209.2,202.3,215.3,244.5,289.1,337.9,324.3,372.3,430.6,493.4,564.7,582.1,621.9,584,617.2,687.5,702.8,705.4,767,842.5,874.2,882.3,845.7,913.2,985.8,1104.8,1217.9,1263.2,1366
115,3,        Energy inputs,,3.3,3.5,3.9,4.3,4.6,5.2,5.9,6.2,6.9,8.1,9.6,12.2,12.9,14.5,16.5,20.1,26.3,26.4,31.3,29.4,32.9,34.5,30.9,26,30.1,29.9,30.4,30,27.5,27.1,26.5,26.6,26.4,26.3,26
116,3,        Materials inputs,,111.3,119.3,136.2,148.1,146.4,161.7,173.2,165.9,176.3,200.6,236.1,278.7,258.9,304,353.6,399.5,447,469.7,492.9,453.8,469,522.2,536.9,536.8,590.2,656.3,678.3,679.1,651.1,706.6,777.3,885.7,991.3,1028.7,1110.3
117,3,        Purchased-services inputs,,14.2,15.9,17.9,21.2,24.5,27,30.2,30.2,32.1,35.8,43.4,47,52.4,53.7,60.5,73.8,91.4,85.9,97.7,100.8,115.3,130.8,135.1,142.6,146.6,156.3,165.5,173.2,167.2,179.5,182.1,192.6,200.2,208.3,229.8
118,4,      Wood products,,7.9,8.5,9,9.6,9.9,11.5,13.1,13.2,15.3,19.9,22.9,24.3,22.6,27.3,31.8,35,37.4,36.1,36.6,32.8,38.3,42.8,42.6,45.4,54.4,56,57.5,57,53.8,62,72.1,79.9,81.2,83.3,88.8
119,4,        Value added,,2.9,3.2,3.5,3.5,3.6,4.2,4.7,4.6,5.1,6.1,7.4,7.4,6.8,8.7,10.6,12.9,14.2,12,11.2,10.1,13.7,15.1,15.3,17.7,19.7,19.8,20.6,19.6,18.7,19.7,22,24.6,25.6,25.3,26.8
120,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,13.9,14.1,13.8,13.3,14.1,15.3,16.7,17.1,18,19.2
121,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6
122,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,5.5,6.2,5.5,5.1,5.3,6.4,7.5,8.1,6.8,7.1
123,4,        Intermediate inputs,,5,5.3,5.5,6,6.2,7.3,8.4,8.7,10.2,13.7,15.4,16.9,15.8,18.6,21.2,22.1,23.2,24.1,25.4,22.6,24.6,27.7,27.3,27.8,34.7,36.2,36.9,37.3,35.1,42.2,50,55.3,55.5,58,62
124,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.3,1.1,1.3,1.4,1.3,1.1,1.4,1.3,1.3,1.3,1.1,1.2,1.3,1.3,1.3,1.3,1.4
125,4,          Materials inputs,,4.6,4.8,5,5.4,5.6,6.5,7.4,7.5,8.8,11.8,13.4,14.8,13.6,16.4,18.8,19.5,20.1,21,21.7,19.3,20.4,22.7,22.4,23,28.7,30.1,30.6,31.1,29.3,35.7,42.8,47.7,48.2,50.2,53.5
126,4,          Purchased-services inputs,,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.1,1.4,1.6,1.6,1.6,1.6,1.7,1.9,2.1,2,2.4,2.2,2.8,3.6,3.6,3.7,4.6,4.8,5,5,4.7,5.3,6,6.3,6.1,6.5,7.1
127,4,      Nonmetallic mineral products,,11.8,12.4,13.4,14,13.9,15.1,16.2,16.1,17.8,20.5,22.7,25.1,25.8,29.2,33.7,39.7,43.6,43.9,45.6,43.1,46.5,50.9,52.6,54.9,61.3,62.6,63.3,63.5,59.6,62.2,65.1,70.7,75.7,81.8,85.9
128,4,        Value added,,5.8,6.3,6.5,6.7,6.6,7.2,8.1,8,8.9,10,11,11.2,11.5,13.4,15,17.5,19,18.5,18.4,16.2,19.8,22.7,24.4,26.9,25.2,26.5,27.3,26.6,24.3,27.5,28.2,32,33.9,34.3,39.8
129,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,17.6,18.1,18.2,17.4,18.2,18.9,19.8,20.4,21.3,22.1
130,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9
131,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.4,8.6,7.8,6.3,8.6,8.6,11.5,12.7,12.2,16.8
132,4,        Intermediate inputs,,6,6.1,6.9,7.3,7.3,7.9,8.1,8.1,8.9,10.4,11.7,13.9,14.3,15.8,18.7,22.1,24.6,25.4,27.2,26.9,26.7,28.2,28.2,27.9,36,36.2,36,37,35.3,34.7,36.9,38.6,41.8,47.5,46.1
133,4,          Energy inputs,,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.4,1.6,1.8,2.2,2.4,2.7,3.1,3.8,4.5,4.6,5.3,5.3,5.3,5.4,4.9,4.4,5.5,5.3,5.3,5.6,5.4,5.2,5.1,4.9,4.7,5,4.3
134,4,          Materials inputs,,4.3,4.4,4.9,5.1,5,5.4,5.5,5.4,5.8,6.8,7.6,9.2,9.2,10.4,12.2,14.3,15.5,16.6,17.3,16.6,16.1,17.1,17.5,17.6,23,23.4,23.3,23.9,22.8,22.5,24.6,26.4,29.4,33.7,32.9
135,4,          Purchased-services inputs,,0.9,0.9,1.1,1.2,1.3,1.5,1.5,1.5,1.8,2,2.3,2.5,2.7,2.8,3.3,4.1,4.6,4.1,4.6,4.9,5.3,5.7,5.8,6,7.5,7.5,7.4,7.5,7.2,6.9,7.3,7.3,7.7,8.8,8.9
136,4,      Primary metals,,33.3,37.6,42.1,45.3,42.9,46.5,51.1,49.3,49,55.4,68.3,89.7,77.1,88.7,97.8,113.1,132,130.2,139.5,104.7,108,116.5,106.6,101.6,110.2,137.4,142.3,136.1,124.2,125.2,129.7,145.3,163.1,161.4,168.3
137,4,        Value added,,12.5,14.3,15.9,17.6,17.1,17.2,18.2,17.7,18.1,20.6,24,30.4,27.5,29.5,32.1,38.9,43.6,42.4,47.8,34.4,30.2,36.3,31.7,33.1,33,41.1,44.6,41.1,37.9,38.9,39.7,43.7,47.7,46,48.1
138,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,28.7,29.8,29.5,28.5,31,30.6,32.2,31.4,31.5,32.4
139,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2
140,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,6,11.1,13.4,10.1,7.7,6.3,7.4,9.7,14.6,12.6,13.6
141,4,        Intermediate inputs,,20.8,23.3,26.1,27.7,25.8,29.3,32.8,31.6,30.9,34.7,44.4,59.3,49.7,59.2,65.8,74.2,88.4,87.8,91.8,70.3,77.8,80.2,74.9,68.5,77.2,96.3,97.7,95,86.3,86.3,90,101.6,115.4,115.4,120.2
142,4,          Energy inputs,,1.5,1.6,1.7,1.8,1.9,2.1,2.5,2.5,2.6,3,3.9,5.3,5.2,6.2,7,8.3,11.2,11,12.6,10.5,12.5,12.8,10.6,8.3,9.8,10.5,10.6,9.8,8.5,8,7.4,7.6,7.6,7.2,7
143,4,          Materials inputs,,17.8,19.8,22.3,23.5,21.4,24.3,27.1,26,25.3,28.4,36.2,49.2,39.8,47.9,53.3,59,67.9,68.3,69.6,51.3,54.7,55.9,53.9,50.4,56.6,72.9,73.7,72.3,65.9,66.3,71,81.8,94.8,95.4,99.6
144,4,          Purchased-services inputs,,1.6,1.9,2.1,2.4,2.6,2.9,3.3,3,3,3.3,4.3,4.9,4.6,5.1,5.5,7,9.2,8.5,9.6,8.5,10.6,11.5,10.5,9.8,10.8,12.9,13.5,12.9,11.9,12.1,11.6,12.2,12.9,12.8,13.6
145,4,      Fabricated metal products,,25.9,28.3,31.8,36.9,41.2,44.8,47.5,45.7,46.5,51.8,59.8,70.5,72.7,80.9,92.7,105.4,121,127.5,137.2,131.1,130,142.1,144.1,143.4,148.4,162.9,169.5,172.9,168.5,174.6,181.9,200.2,219.3,230.4,243.9
146,4,        Value added,,11.9,13,14.6,16.8,18,19.4,20.6,19.8,20.3,23.1,26.6,28.3,30,34.2,38.5,43.6,49.9,52.9,58.1,53.9,55.3,62.8,66.6,67.2,69.5,74.2,78.2,79.8,77.6,80.3,83.9,93.4,98.8,105.4,110
147,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,48,52,54.4,56.2,56.4,58.3,59.4,63.1,66.1,68.1,70.8
148,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.7,1.8,1.9
149,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,21.2,22.6,22.3,19.9,20.5,23,28.6,31,35.6,37.4
150,4,        Intermediate inputs,,14,15.3,17.2,20.1,23.1,25.4,26.9,25.9,26.2,28.7,33.2,42.2,42.7,46.7,54.2,61.8,71.1,74.6,79.2,77.2,74.6,79.2,77.5,76.1,78.9,88.7,91.3,93.1,90.9,94.3,98,106.9,120.5,124.9,133.9
151,4,          Energy inputs,,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.2,1.4,1.4,1.6,2,2.5,2.5,3.1,3.1,3.4,3.6,3.2,2.6,2.9,2.8,2.9,3,2.9,3,2.9,2.9,3,3.1,3.2
152,4,          Materials inputs,,12,13.1,14.8,17.2,19.6,21.4,22.3,21.3,21.2,23.2,26.7,34.9,34.1,37.9,44.1,49.8,56.6,60.9,63.6,60.8,56.6,59.2,59,57.8,61.1,70.5,72.7,73.8,72,74.8,77,83.7,94.7,96.6,101.1
153,4,          Purchased-services inputs,,1.7,1.9,2,2.4,3,3.5,3.9,3.9,4.2,4.6,5.5,6.1,7.2,7.3,8.4,10.1,12,11.1,12.5,13.3,14.6,16.4,15.3,15.7,14.9,15.4,15.8,16.3,15.9,16.5,18,20.2,22.8,25.3,29.6
154,4,      Machinery,,25.5,28.8,32.5,37.9,39.8,41.3,45,45.6,46.1,53.9,63.1,74.2,77.7,83.6,95.1,109.3,125.4,134.4,147,132.9,121.3,139.5,145.1,141.5,150.7,168.5,183.9,184.6,178.5,181.6,197.4,220.1,243.9,254.6,269.8
155,4,        Value added,,13.6,15.5,17.3,20.2,21,22.1,23.8,24.7,24.1,27.7,31.6,34.2,37.3,42.3,49,56,62.2,66.8,74.4,67.3,62.6,69.2,69.6,65,69.6,80.4,88,89.1,83.1,85,86.1,90,95.2,96.8,102.2
156,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,54.1,57.9,58.7,58.8,58.6,61.2,64,66.9,68.5,72.4
157,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.7,2
158,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,25.1,28.8,29,22.8,24.8,23.3,24.4,26.6,26.6,27.9
159,4,        Intermediate inputs,,11.9,13.3,15.2,17.6,18.8,19.3,21.2,20.8,22,26.2,31.5,40,40.4,41.3,46.1,53.2,63.2,67.6,72.6,65.6,58.7,70.3,75.5,76.5,81.1,88.1,95.9,95.5,95.4,96.6,111.4,130.1,148.8,157.8,167.5
160,4,          Energy inputs,,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.7,0.8,0.7,0.8,1,1.4,1.4,1.8,1.7,1.8,2.1,2,1.7,1.9,1.8,2,2,1.9,1.9,1.9,2,2,2,2
161,4,          Materials inputs,,9.9,11,12.6,14.4,15.1,15.4,16.9,16.6,17.4,20.9,25,32.5,31.5,33,37.2,42.2,49.1,54.3,57.1,50.7,43.4,51,55.5,55.7,60.3,66.7,72.7,72,72,73.2,85.4,100.9,117.2,123.9,130
162,4,          Purchased-services inputs,,1.8,2.2,2.5,3,3.5,3.6,4,3.9,4.2,4.9,6,6.9,8.1,7.5,8.1,10,12.7,11.8,13.7,13.1,13.6,17.2,18.1,19.1,18.9,19.5,21.3,21.5,21.5,21.5,24,27.2,29.6,31.9,35.5
163,4,      Computer and electronic products,,23.7,24.1,27.7,33.5,35.4,37.8,40.2,39.8,39.1,43.4,49.6,55.1,54.4,62.6,76.1,88.9,105.4,124.9,139.9,155.9,169.3,202.6,208.5,207.2,225,246,250.5,259.8,262,278.7,293.2,330.9,386.5,417,461.1
164,4,        Value added,,9.8,10.4,11.9,13.9,14.8,15.9,17.1,16.9,17.4,19.4,22,22.4,23.7,27,31.6,36.5,41.9,50.3,58,61.7,71,85.1,89.7,88.9,98.5,107.9,111.8,114.8,116.8,121.3,124.9,140.7,159.7,171.9,195.3
165,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,75.9,76.6,78.5,79.7,82.1,83.8,89.7,99.2,105.7,109.7
166,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.5,1.6,1.8,2,2.2,2.3,2.6,2.8,3.3,3.5
167,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,30.4,33.5,34.5,35.1,37,38.8,48.4,57.6,62.9,82.1
168,4,        Intermediate inputs,,13.8,13.7,15.8,19.6,20.6,21.9,23.1,22.9,21.6,24.1,27.6,32.7,30.7,35.6,44.5,52.4,63.5,74.7,81.9,94.1,98.3,117.4,118.8,118.3,126.5,138.1,138.6,145,145.2,157.4,168.3,190.2,226.9,245.1,265.8
169,4,          Energy inputs,,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.9,1.2,1.4,1.8,2.3,2.4,2.5,2.4,2.1,2.4,2.3,2.3,2.3,2.2,2.2,2.3,2.6,3,3.3,3.6
170,4,          Materials inputs,,11.5,11.3,13.1,16.2,16.7,17.7,18.4,17.8,16.7,18.6,21.2,25.1,22.4,27,34.3,39.8,47.1,58,62.8,70.9,72.6,88.7,88.8,86.6,94,103.5,101.8,105.6,106.2,115.2,125.2,143.1,173.5,187.3,202.1
171,4,          Purchased-services inputs,,2.3,2.3,2.5,3.2,3.7,4,4.5,4.8,4.7,5.1,6.1,7.1,7.8,8,9.6,11.8,15.2,15.3,17.3,21,23.2,26.2,27.6,29.5,30.1,32.3,34.5,37.1,36.9,40,40.8,44.5,50.4,54.5,60.1
172,4,"      Electrical equipment, appliances, and components",,14.4,15.4,17.4,19.7,20.3,21.5,23,23.1,23.2,26,29.9,33.6,31.1,35.5,41.3,46,51.8,53.9,56.7,54.1,57.6,65.5,66.7,68,72.3,77.9,82.2,81.1,77.3,83,89.1,97.1,102.9,106.5,111.1
173,4,        Value added,,6.6,6.9,8,9.2,9.7,10.3,10.9,10.6,11,12.2,13.8,13.9,14.4,16.4,19.2,21.4,23.6,25,27.6,25,27.8,31.7,33.1,34,36,37.7,41.6,41.9,40.8,41.7,43,45.5,44.3,44.3,46.9
174,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,22.9,23.7,23.6,22.8,23.4,24.1,24.8,24.9,25.2,27
175,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8
176,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,14.4,17.4,17.7,17.4,17.7,18.4,20.1,18.8,18.4,19.1
177,4,        Intermediate inputs,,7.7,8.5,9.4,10.5,10.6,11.2,12.1,12.4,12.2,13.9,16.1,19.7,16.7,19.1,22.1,24.5,28.2,28.9,29.1,29.1,29.7,33.8,33.6,34,36.3,40.1,40.6,39.3,36.5,41.3,46,51.5,58.6,62.1,64.2
178,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.7,0.9,0.9,1,1.1,1,0.9,1,1,1,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.7
179,4,          Materials inputs,,6.7,7.3,8,8.8,8.7,9.3,9.9,10.1,9.8,11.2,12.9,16.2,13.1,15.4,17.8,19.3,21.6,22.9,22.5,21.9,21.5,24.2,24.4,24.4,26.4,30,30.6,29.8,27.9,31.9,36.9,42.3,49.4,53,55
180,4,          Purchased-services inputs,,0.9,1.1,1.2,1.5,1.7,1.8,2,2.1,2.1,2.4,2.9,3.2,3.2,3.3,3.8,4.6,5.8,5.2,5.7,6.3,7.2,8.5,8.2,8.7,8.8,9.1,9,8.6,7.9,8.5,8.4,8.4,8.4,8.4,8.5
181,4,"      Motor vehicles, bodies and trailers, and parts",,46,49.8,60,60.4,53.2,63.6,66.1,57.5,74.1,82,94,87,87,114.2,137.3,157.8,160.8,135.2,152.9,148,185.7,224.1,231.2,234.9,245.6,265.1,276.1,255.8,246.2,283,319.7,374.5,391.4,397.4,431
182,4,        Value added,,16.4,17.2,20.3,20.4,19.1,23.4,23.8,19.5,25.2,26.5,29.3,23.9,25.6,34.8,42.8,46.4,44.9,33.9,43,40.7,52.6,67.4,70.5,72.5,71.3,76.4,75.5,64.3,64.3,76.5,89.5,103.8,104.2,107.9,112
183,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,52.7,52.3,49.1,49.1,55.2,58.9,64.7,66.1,66.1,63.3
184,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,1,1.1,1.2,1.2,1.4,1.4,1.5,1.6
185,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,22.8,22.3,14.3,14,20.1,29.4,37.8,36.7,40.3,47
186,4,        Intermediate inputs,,29.6,32.6,39.7,40,34.2,40.2,42.3,38,48.9,55.5,64.7,63.1,61.4,79.4,94.5,111.3,115.9,101.2,109.9,107.3,133.1,156.8,160.7,162.4,174.3,188.8,200.6,191.5,181.9,206.5,230.2,270.7,287.3,289.5,318.9
187,4,          Energy inputs,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.8,1,1.1,1.5,2,1.8,2.3,2.2,2.9,3.4,3.2,2.8,2.6,2.5,2.5,2.5,2.1,2,1.9,2,1.8,1.6,1.7
188,4,          Materials inputs,,27.7,30.4,37,37.1,31.2,36.8,38.5,34.5,44.5,50.4,58.6,57.6,55.1,72.3,86.4,100.9,103.6,91.3,97.9,95.1,115.7,134.7,138.1,139.2,151,162.6,171.3,159.7,151.3,171.3,196.5,236.1,256.1,260.3,287.9
189,4,          Purchased-services inputs,,1.7,2,2.4,2.7,2.8,3.2,3.4,3.2,4,4.5,5.3,4.8,5.4,6.1,6.9,8.9,10.3,8.2,9.8,10,14.4,18.6,19.4,20.4,20.7,23.7,26.8,29.2,28.5,33.1,31.7,32.6,29.4,27.6,29.3
190,4,      Other transportation equipment,,21.5,22,23.7,28.3,33,35.8,37.1,35.3,34.2,34.7,41.1,46.1,50.6,52.9,57.1,64.5,79.7,91.5,96.3,94.4,100.6,105.5,118.5,129.7,131.7,138.9,143.8,156.7,154.5,154.6,145.5,133.6,128.4,136.8,155.6
191,4,        Value added,,10.9,11.2,11.9,14.6,16,17.1,16.4,15.3,14.4,15.1,16,17.6,18.7,19.7,21.5,24.4,28.4,31.4,31.1,44.7,48.6,56.2,56.1,61.8,67.3,66.6,67.6,70.5,77.5,67,64.2,53.2,52,60.8,62.5
192,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,42.7,45.3,47.4,47,45.9,42.9,40.4,41.3,41.8,46.6
193,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.8,0.9,1,1,1,1.1,1,1.1,1.1
194,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,23.1,21.5,22.3,29.5,20,20.3,11.8,9.7,18,14.8
195,4,        Intermediate inputs,,10.6,10.7,11.8,13.7,17,18.7,20.7,20.1,19.8,19.7,25.1,28.5,31.9,33.2,35.5,40.1,51.3,60.1,65.3,49.7,52,49.3,62.4,67.9,64.5,72.4,76.2,86.2,77.1,87.6,81.2,80.4,76.4,76,93.1
196,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.7,1,1.1,1.4,1.2,1.2,1,1.2,1.1,1.1,1.1,1.1,1.3,1.2,1.3,1.1,1,0.8,0.7,0.8
197,4,          Materials inputs,,8.9,8.9,9.8,11.3,13.7,15,16.4,15.8,15.5,15.4,19.5,22.3,24.2,25.6,27.6,30.8,39.1,46.8,50.1,36.3,37.8,36.9,46,49.6,47.8,54.9,58.4,66.2,59.5,68.3,64.4,64.8,62.6,63,77.5
198,4,          Purchased-services inputs,,1.6,1.7,1.9,2.3,3.1,3.5,4,4,4,4,5.3,5.7,7.1,7,7.3,8.6,11.2,12.2,13.8,12.2,12.9,11.5,15.2,17.3,15.5,16.4,16.7,18.7,16.3,18,15.6,14.6,13,12.3,14.8
199,4,      Furniture and related products,,6,6.5,7.1,7.7,7.9,8.6,9.3,9.1,9.8,11.9,13.4,13.9,13,15.1,18.5,21.5,23,24.2,25.8,25.8,28.7,32.8,34.2,36.2,41.5,42.8,44.6,44.8,42.3,46.2,48.9,52.5,55,57,63.6
200,4,        Value added,,2.8,3,3.4,3.8,3.8,4.2,4.6,4.4,4.6,5.5,6,6.1,5.9,6.9,7.9,9.1,9.3,10.4,11,11,12.8,14.9,15.8,16.8,17.8,18.6,19.6,19,18.3,20,21.7,22.5,23.2,25.4,27.9
201,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,14.7,15.1,15.2,14.5,15.5,16.3,17.2,17.6,18.2,19.6
202,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
203,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,4.4,3.6,3.6,4.3,5.2,5.1,5.3,6.9,8
204,4,        Intermediate inputs,,3.3,3.4,3.6,3.9,4.1,4.4,4.7,4.8,5.2,6.4,7.4,7.8,7.2,8.1,10.6,12.3,13.7,13.8,14.7,14.9,15.9,17.9,18.4,19.4,23.6,24.2,25,25.8,24.1,26.2,27.2,30,31.8,31.6,35.7
205,4,          Energy inputs,,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6
206,4,          Materials inputs,,2.9,3,3.1,3.4,3.5,3.7,4,3.9,4.2,5.2,6,6.4,5.6,6.5,8.5,9.6,10.4,10.9,11.3,11.2,11.6,12.8,13.3,14,17.4,18.1,18.8,19.5,18.3,20.2,21.5,24.2,26.2,26,29.3
207,4,          Purchased-services inputs,,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.4,1.5,2,2.4,2.9,2.6,3,3.3,3.9,4.6,4.6,5,5.6,5.6,5.6,5.7,5.2,5.4,5.1,5.3,5.2,5.1,5.8
208,4,      Miscellaneous manufacturing,,9.7,10.2,11.1,11.9,12.7,13.7,14.9,14.9,15.5,18.2,19.7,21.7,22.6,24.9,28.6,31.5,35,38.3,42.3,44.4,44.5,47.8,48.4,49.8,58.4,65,68.3,73.6,76.2,80.9,87.9,91.6,98.3,105.2,110.8
209,4,        Value added,,3.6,3.8,4.2,4.7,5,5.5,6,5.8,6.2,7,7.6,7.9,8.9,9.8,11.2,12.3,13.5,14.4,17.5,18.1,18.7,21.1,22.9,23.3,24.5,31.5,33,37,38.3,40.6,41.4,41.9,43.4,49.9,52.3
210,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,18.3,19.4,20.3,21.2,23.1,24.7,25.8,26.8,28.9,31.5
211,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
212,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,12.8,13.1,16.1,16.6,16.9,16,15.4,15.8,20.1,19.9
213,4,        Intermediate inputs,,6.1,6.4,6.9,7.2,7.8,8.2,8.9,9.1,9.3,11.2,12,13.8,13.7,15.1,17.4,19.1,21.6,24,24.8,26.3,25.8,26.6,25.5,26.5,33.9,33.5,35.3,36.6,37.9,40.2,46.5,49.6,54.9,55.3,58.6
214,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.6,0.9,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,0.9,0.8
215,4,          Materials inputs,,5.1,5.2,5.6,5.7,6,6.3,6.8,6.9,7,8.6,9.1,10.6,10.1,11.5,13.4,14.4,16,18.7,19,19.8,18.6,18.9,18.1,18.5,23.9,23.6,24.5,25.2,25.8,27.2,32,34.6,39.2,39.3,41.3
216,4,          Purchased-services inputs,,0.9,1.1,1.2,1.4,1.7,1.8,2,2,2.1,2.4,2.8,2.9,3.4,3.4,3.8,4.4,5.2,4.9,5.3,6,6.6,7.1,6.8,7.4,9.1,9.1,9.9,10.6,11.2,12.2,13.6,14.1,14.8,15.1,16.5
