Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
70,    Management of companies and enterprises,20.769,22.046,21.391,23.163,25.066,25.241,25.78,24.389,26.09,26.021,26.304,25.306,27.057,27.061,27.498,29.594,31.55,33.259,35.866,38.646,38.764,40.898,42.232,41.652,43.405,46.942,51.341,47.323,46.044,49.986,53.363,56.037,55.901,54.264,53.602,54.38,60.591,68.269,74.033,79.935,82.134,74.325,82.143,85.06,77.711,72.392,71.97,73.14,74.201,76.364,84.822
71,    Administrative and waste management services,1.735,1.793,2.055,2.319,2.617,3.031,3.403,3.704,4.193,4.586,5.185,5.644,6.197,6.782,7.384,7.994,8.812,9.443,10.065,11.09,11.343,12.238,13.031,13.104,13.045,14.322,15.331,17.188,16.6,17.494,18.534,20.518,22.419,23.436,24.122,23.268,25.08,28.334,30.703,32.933,36.165,38.224,41.167,43.449,42.056,44.303,45.69,48.094,51.667,55.66,60.47
72,      Administrative and support services,,,,,,,,,,,,,,,,,7.682,8.318,8.983,10.033,10.312,11.244,12.169,12.303,12.235,13.582,14.446,16.21,15.291,15.817,17.09,19.197,21.336,22.6,23.633,22.543,23.826,27.033,29.196,31.285,34.352,36.262,39.133,41.476,40.083,42.192,43.477,45.779,49.512,53.802,58.973
73,      Waste management and remediation services,,,,,,,,,,,,,,,,,18.956,19.603,19.962,20.936,21.014,21.771,21.754,21.404,21.403,22.52,24.725,27.613,29.44,33.561,32.599,33.726,33.853,32.872,30.705,31.835,39.042,42.826,47.507,51.31,56.389,60.102,63.85,65.427,64.045,67.839,70.379,73.901,75.602,76.115,76.687
74,"  Educational services, health care, and social assistance",9.701,10.86,10.787,11.387,11.865,11.983,12.552,12.345,13.734,14.12,14.866,15.567,16.509,16.94,17.804,19.032,19.679,20.991,21.918,23.475,24.647,26.124,28.04,29.331,30.526,32.332,34.608,35.685,37.163,38.074,39.164,40.873,42.349,43.25,43.94,43.93,45.757,46.636,47.917,48.923,51.988,52.723,54.678,56.477,57.748,58.978,60.587,61.847,62.793,63.843,65.087
75,    Educational services,8.825,10.665,10.73,11.024,11.077,10.677,10.81,10.987,11.32,12.231,12.861,13.233,13.73,14.614,15.922,17.458,18.45,19.711,21.323,23.206,24.361,26.376,29.284,31.33,33.343,35.168,35.774,33.85,33.934,32.922,32.199,33.254,33.438,34.071,33.744,33.862,36.634,38.345,39.785,40.525,42.85,43.492,44.961,45.498,47.782,49.56,52.818,56.863,60.282,63.1,66.433
76,    Health care and social assistance,9.777,10.757,10.653,11.317,11.888,12.127,12.79,12.496,14.114,14.371,15.134,15.903,16.938,17.255,18.001,19.138,19.694,21,21.753,23.212,24.372,25.711,27.387,28.5,29.51,31.285,33.889,35.618,37.387,38.703,40.161,41.985,43.708,44.653,45.54,45.505,47.138,47.858,49.102,50.149,53.328,54.076,56.104,58.101,59.213,60.359,61.724,62.582,63.171,63.966,64.905
77,      Ambulatory health care services,,,,,,,,,,,,,,,,,18.095,19.468,19.988,20.901,21.77,22.93,24.272,25.331,25.98,28.021,30.503,32.098,33.392,34.456,35.705,37.14,38.289,38.841,40.252,40.216,42.06,43.342,44.695,45.416,49.511,50.637,52.664,54.866,56.242,57.537,58.333,58.987,59.428,60.196,60.281
78,      Hospitals and nursing and residential care facilities,,,,,,,,,,,,,,,,,24.005,25.426,26.504,28.702,30.082,31.601,33.82,35.089,36.64,38.111,40.833,43.115,45.425,47.089,48.909,50.91,53.397,55.048,55.35,55.461,56.248,55.774,56.458,57.472,59.577,59.714,61.444,63.053,63.912,64.188,66.142,66.952,67.468,68.454,69.476
79,      Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,      Nursing and residential care facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,      Social assistance,,,,,,,,,,,,,,,,,8.958,9.342,9.926,11.171,12.683,13.973,15.094,15.71,16.466,17.573,19.864,20.006,21.882,22.974,23.924,26.779,28.375,28.607,28.83,28.234,32.105,34.839,37.938,41.117,43.305,44.518,47.918,50.396,50.96,55.791,57.874,60.444,62.521,62.377,69.007
82,"  Arts, entertainment, recreation, accommodation, and food services",22.111,22.163,20.815,21.613,24.926,24.001,22.99,22.567,22.537,23.331,23.927,24.343,24.666,24.533,24.9,25.871,26.616,28.128,29.603,30.986,30.523,31.336,31.618,31.176,31.371,32.893,36.967,36.372,37.398,38.82,41.046,44.337,45.986,44.777,45.76,46.23,49.603,51.409,53.184,55.12,55.651,59.901,62.136,63.852,62.35,64.573,66.867,68.972,71.446,74.133,78.592
83,"    Arts, entertainment, and recreation",12.7,12.734,12.504,12.479,12.917,13,13.384,13.134,13.64,13.993,14.191,14.654,15.615,16.49,17.046,17.52,18.127,18.805,19.05,19.309,19.199,19.54,19.116,19.251,19.365,19.777,22.009,22.797,23.403,25.393,28.97,30.738,32.269,32.868,35.005,35.2,37.228,37.616,40.283,41.734,43.81,45.535,50.139,55.123,54.17,60.698,61.059,62.02,65.319,67.756,73.607
84,"      Performing arts, spectator sports, museums, and related activities",,,,,,,,,,,,,,,,,12.881,13.27,13.474,13.706,13.641,13.549,13.252,13.201,13.35,13.99,16.039,16.997,17.589,19.404,22.554,25.072,26.689,28.041,30.027,30.497,32.095,32.76,34.573,37.45,39.92,40.324,42.479,48.173,47.346,51.958,54.713,55.29,56.932,58.922,61.84
85,"      Amusements, gambling, and recreation industries",,,,,,,,,,,,,,,,,24.677,25.708,26.006,26.301,26.135,27.015,26.431,26.808,26.873,26.974,29.421,30.003,30.634,32.864,37.02,38.008,39.492,39.297,41.68,41.591,44.16,44.252,47.97,47.835,49.52,52.833,60.475,64.706,63.581,72.574,70.066,71.51,76.898,79.933,89.546
86,    Accommodation and food services,26.117,26.177,24.314,25.492,30.184,28.752,27.047,26.551,26.252,27.241,28.019,28.393,28.371,27.733,27.993,29.181,29.969,31.851,33.906,35.825,35.196,36.221,36.85,36.134,36.363,38.385,43.25,41.968,43.171,44.277,45.833,49.76,51.439,49.468,49.973,50.552,54.453,56.822,58.241,60.366,60.299,65.533,66.842,67.275,65.558,66.104,69.148,71.7,73.848,76.634,80.538
87,      Accommodation,13.562,13.479,13.564,13.435,13.732,13.628,13.381,13.337,13.463,13.628,14.266,13.842,14.536,14.623,14.922,16.16,17.598,18.225,19.851,21.655,22.53,23.506,24.188,24.567,25.004,27.052,29.681,30.129,31.616,34.674,38.118,43.434,46.549,45.913,48.131,48.232,52.406,55.198,58.481,59.78,61.369,63.405,65.435,65.358,64.662,66.861,68.906,71.981,76.051,79.722,84.001
88,      Food services and drinking places,33.191,33.354,30.21,32.239,39.941,37.578,34.896,34.099,33.502,35.028,35.831,36.808,36.217,35.088,35.296,36.355,36.639,39.266,41.492,43.376,41.78,42.791,43.361,41.988,42.083,44.034,50.102,47.812,48.817,48.824,49.381,52.577,53.539,50.942,50.663,51.45,55.225,57.404,58.017,60.488,59.721,66.3,67.299,67.949,65.798,65.639,69.104,71.424,72.736,75.13,78.861
89,"  Other services, except government",26.283,26.081,26.673,28.381,28.406,28.037,28.771,28.494,31.055,32.336,33.175,33.651,35.29,37.472,38.429,40.601,41.196,42.263,43.136,45.201,46.237,47.51,47.938,47.641,49.302,51.174,52.535,51.782,51.394,53.952,54.913,59.441,59.807,61.473,63.081,61.434,65.107,69.42,73.663,78.701,78.41,83.752,88.393,90.669,88.908,92.607,97.159,101.989,105.802,110.042,115.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
